datetime,ip_src,query,payload,http_method
2024-10-19 12:36:52,192.168.168.130,,ip=8.8.8.8+%26%26+ls&Submit=Submit,POST
2024-10-19 12:37:06,192.168.168.130,,ip=8.8.8.8%7Cwhoami&Submit=Submit,POST
